id,matricula_discente,nombre_discente,apellido_paterno_discente,apellido_materno_discente,grado_escolar,plantel,CURP,RFC,cartilla_militar,generacion,sexo,fecha_nacimiento,nacionalidad,entidad_nacimiento,nombre_tutor,nombre_padre,nombre_madre,escuela_procedencia,tipo_escuela_procedencia,entidad_federativa_escuela,promedio_secundaria,promedio_bachillerato,foto,practica_deporte,nombre_deporte,nombre_entrenador,categoria,fecha_inicio,lugar,horario_deporte,asociacion,peso,estatura,tipo_sangre,padece_enfermedad,descripcion_enfermedad,problema_fisico,descripcion_problema,operacion_fisica,descripcion_operacion,tatuajes,pie_plano,lentes,carrera,promedio,foto_horario,fk_id_domicilio
42,42,nombre42,apellidoPaterno42,apellidoMaterno42,BACHILLERATO,CECYT,AAST770826MCHLNR109,AAST770866,SAML770826MCSNRT122,114 (2016 - 2022),Femenino,1999-01-25,Mexicano,MORELOS,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,INGENIERIA Y CIENCIAS FISICO MATEMATICA,MORELOS,3.452155759,1.787273188,,NO,Natacion,Demetrio Sanchis,Juvenil,2022-07-11,Ciudad de Mexico,Vespertino,,83.327172,1.736143438,O+,NO,,NO,,NO,,SI,NO,NO,Ingenieria en sistemas computacionales,2.735347736,,0
43,43,nombre43,apellidoPaterno43,apellidoMaterno43,BACHILLERATO,CECYT,AAST770826MCHLNR110,AAST770867,SAML770826MCSNRT123,115 (2016 - 2022),Femenino,1999-01-26,Mexicano,HIDALGO,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,INGENIERIA Y CIENCIAS FISICO MATEMATICA,HIDALGO,1.176872285,1.112312253,,NO,Natacion,Demetrio Sanchis,Juvenil,2022-07-12,Ciudad de Mexico,Vespertino,,93.48583504,1.859018049,O+,NO,,NO,,NO,,SI,NO,SI,Ingenieria en sistemas computacionales,2.772695304,,0
44,44,nombre44,apellidoPaterno44,apellidoMaterno44,BACHILLERATO,CECYT,AAST770826MCHLNR111,AAST770868,SAML770826MCSNRT124,116 (2016 - 2022),Femenino,1999-01-27,Mexicano,MORELOS,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,INGENIERIA Y CIENCIAS FISICO MATEMATICA,MORELOS,3.586597958,9.182111453,,NO,Natacion,Demetrio Sanchis,Juvenil,2022-07-13,Ciudad de Mexico,Matutino,,80.94217189,1.966717159,O+,NO,,NO,,NO,,SI,NO,NO,Ingenieria en sistemas computacionales,7.563689482,,0
45,45,nombre45,apellidoPaterno45,apellidoMaterno45,BACHILLERATO,CECYT,AAST770826MCHLNR112,AAST770869,SAML770826MCSNRT125,117 (2016 - 2022),Femenino,1999-01-28,Mexicano,CIUDAD DE MEXICO,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,INGENIERIA Y CIENCIAS FISICO MATEMATICA,CIUDAD DE MEXICO,1.219516316,5.824217573,,NO,Natacion,Demetrio Sanchis,Juvenil,2022-07-14,Ciudad de Mexico,Matutino,,92.0695564,1.857287685,A-,NO,,NO,,NO,,SI,NO,NO,Ingenieria en sistemas computacionales,9.354910288,,0
46,46,nombre46,apellidoPaterno46,apellidoMaterno46,BACHILLERATO,CECYT,AAST770826MCHLNR113,AAST770870,SAML770826MCSNRT126,118 (2016 - 2022),Femenino,1999-01-29,Mexicano,ZACATECAS,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,INGENIERIA Y CIENCIAS FISICO MATEMATICA,ZACATECAS,9.477578268,9.518080485,,NO,Natacion,Demetrio Sanchis,Juvenil,2022-07-15,Ciudad de Mexico,Matutino,,91.81415777,1.794556017,A-,NO,,NO,,NO,,SI,NO,SI,Ingenieria en sistemas computacionales,0.429994273,,0
47,47,nombre47,apellidoPaterno47,apellidoMaterno47,BACHILLERATO,CECYT,AAST770826MCHLNR114,AAST770871,SAML770826MCSNRT127,119 (2016 - 2022),Femenino,1999-01-30,Mexicano,NUEVO LEON,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS MEDICO BIOLOGICAS,NUEVO LEON,2.802910845,0.956416885,,SI,Alterofilia,Demetrio Sanchis,Juvenil,2022-07-16,Ciudad de Mexico,Vespertino,,79.36743827,1.789716439,AB+,NO,,NO,,NO,,NO,SI,SI,Ingenieria en sistemas computacionales,2.989591768,,0
48,48,nombre48,apellidoPaterno48,apellidoMaterno48,BACHILLERATO,CECYT,AAST770826MCHLNR115,AAST770872,SAML770826MCSNRT128,120 (2016 - 2022),Femenino,1999-01-31,Mexicano,TABASCO,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS MEDICO BIOLOGICAS,TABASCO,1.67425338,0.110104431,,SI,Alterofilia,Demetrio Sanchis,Juvenil,2022-07-17,Ciudad de Mexico,Vespertino,,81.35393891,1.974116815,AB+,NO,,NO,,NO,,SI,SI,SI,Ingenieria en sistemas computacionales,3.852432371,,0
49,49,nombre49,apellidoPaterno49,apellidoMaterno49,BACHILLERATO,CECYT,AAST770826MCHLNR116,AAST770873,SAML770826MCSNRT129,121 (2016 - 2022),Femenino,1999-02-01,Mexicano,VERACRUZ,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS MEDICO BIOLOGICAS,VERACRUZ,6.97442408,6.637732362,,SI,Alterofilia,Demetrio Sanchis,Juvenil,2022-07-18,Ciudad de Mexico,Matutino,,75.66860813,1.719747132,AB+,NO,,NO,,NO,,NO,SI,SI,Ingenieria en sistemas computacionales,6.510905698,,0
50,50,nombre50,apellidoPaterno50,apellidoMaterno50,BACHILLERATO,CECYT,AAST770826MCHLNR117,AAST770874,SAML770826MCSNRT130,122 (2016 - 2022),Femenino,1999-02-02,Mexicano,BAJA CALIFORNIA SUR,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS MEDICO BIOLOGICAS,BAJA CALIFORNIA SUR,3.365708953,7.882458615,,SI,Natacion,Demetrio Sanchis,Juvenil,2022-07-19,Ciudad de Mexico,Matutino,,91.64441108,1.626037603,AB+,NO,,NO,,NO,,NO,NO,SI,Ingenieria en sistemas computacionales,1.987354111,,0
51,51,nombre51,apellidoPaterno51,apellidoMaterno51,BACHILLERATO,CECYT,AAST770826MCHLNR118,AAST770875,SAML770826MCSNRT131,123 (2016 - 2022),Femenino,1999-02-03,Mexicano,PUEBLA,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS MEDICO BIOLOGICAS,PUEBLA,9.093341882,8.850364572,,SI,Natacion,Demetrio Sanchis,Juvenil,2022-07-20,Ciudad de Mexico,Matutino,,76.73033211,1.713440548,A-,NO,,NO,,NO,,SI,NO,SI,Ingenieria en sistemas computacionales,5.143661718,,0
52,52,nombre52,apellidoPaterno52,apellidoMaterno52,BACHILLERATO,CECYT,AAST770826MCHLNR119,AAST770876,SAML770826MCSNRT132,124 (2016 - 2022),Femenino,1999-02-04,Mexicano,CHIHUAHUA,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS SOCIALES Y ADMINISTRATIVAS,CHIHUAHUA,1.323844589,2.806428499,,SI,Natacion,Demetrio Sanchis,Juvenil,2022-07-21,Ciudad de Mexico,Vespertino,,75.29746382,1.90290692,A-,NO,,NO,,NO,,SI,NO,SI,Ingenieria en sistemas computacionales,3.376643191,,0
53,53,nombre53,apellidoPaterno53,apellidoMaterno53,BACHILLERATO,CECYT,AAST770826MCHLNR120,AAST770877,SAML770826MCSNRT133,125 (2016 - 2022),Femenino,1999-02-05,Mexicano,CHIAPAS,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS SOCIALES Y ADMINISTRATIVAS,CHIAPAS,8.43670304,4.114186721,,SI,Natacion,Demetrio Sanchis,Juvenil,2022-07-22,Ciudad de Mexico,Vespertino,,89.76800347,1.909298907,A-,NO,,NO,,NO,,SI,NO,SI,Ingenieria en sistemas computacionales,6.898197063,,0
54,54,nombre54,apellidoPaterno54,apellidoMaterno54,BACHILLERATO,CECYT,AAST770826MCHLNR121,AAST770878,SAML770826MCSNRT134,126 (2016 - 2022),Femenino,1999-02-06,Mexicano,OAXACA,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS MEDICO BIOLOGICAS,OAXACA,9.282086265,7.166257611,,SI,Natacion,Demetrio Sanchis,Juvenil,2022-07-23,Ciudad de Mexico,Vespertino,,77.05218042,1.831246606,A-,NO,,NO,,NO,,SI,NO,SI,Ingenieria en sistemas computacionales,9.039921451,,0
55,55,nombre55,apellidoPaterno55,apellidoMaterno55,BACHILLERATO,CECYT,AAST770826MCHLNR122,AAST770879,SAML770826MCSNRT135,127 (2016 - 2022),Femenino,1999-02-07,Mexicano,GUERRERO,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS SOCIALES Y ADMINISTRATIVAS,GUERRERO,3.860477449,8.048206885,,SI,Natacion,Demetrio Sanchis,Juvenil,2022-07-24,Ciudad de Mexico,Vespertino,,92.61177949,1.697623039,A-,NO,,NO,,NO,,SI,NO,SI,Ingenieria en sistemas computacionales,7.142615032,,0
56,56,nombre56,apellidoPaterno56,apellidoMaterno56,BACHILLERATO,CECYT,AAST770826MCHLNR123,AAST770880,SAML770826MCSNRT136,128 (2016 - 2022),Femenino,1999-02-08,Mexicano,MORELOS,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS SOCIALES Y ADMINISTRATIVAS,MORELOS,6.956950562,6.628868208,,SI,Natacion,Demetrio Sanchis,Juvenil,2022-07-25,Ciudad de Mexico,Vespertino,,78.30562702,1.679000678,O+,NO,,NO,,NO,,SI,NO,SI,Ingenieria en sistemas computacionales,7.97183122,,0
57,57,nombre57,apellidoPaterno57,apellidoMaterno57,BACHILLERATO,CECYT,AAST770826MCHLNR124,AAST770881,SAML770826MCSNRT137,129 (2016 - 2022),Femenino,1999-02-09,Mexicano,MICHOACAN,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS MEDICO BIOLOGICAS,MICHOACAN,6.336763778,3.440513216,,SI,Basquetball,Demetrio Sanchis,Juvenil,2022-07-26,Ciudad de Mexico,Vespertino,,77.1532748,1.768642039,O+,NO,,NO,,NO,,SI,NO,SI,Ingenieria en sistemas computacionales,4.260181165,,0
58,58,nombre58,apellidoPaterno58,apellidoMaterno58,BACHILLERATO,CECYT,AAST770826MCHLNR125,AAST770882,SAML770826MCSNRT138,130 (2016 - 2022),Femenino,1999-02-10,Mexicano,ESTADO DE MEXICO,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS MEDICO BIOLOGICAS,ESTADO DE MEXICO,9.340296392,0.498531767,,NO,Basquetball,Demetrio Sanchis,Juvenil,2022-07-27,Ciudad de Mexico,Vespertino,,86.88645374,1.83525963,O+,NO,,NO,,NO,,SI,SI,SI,Ingenieria en sistemas computacionales,4.620756148,,0
59,59,nombre59,apellidoPaterno59,apellidoMaterno59,BACHILLERATO,CECYT,AAST770826MCHLNR126,AAST770883,SAML770826MCSNRT139,131 (2016 - 2022),Femenino,1999-02-11,Mexicano,PUEBLA,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS SOCIALES Y ADMINISTRATIVAS,PUEBLA,4.278638606,7.880038662,,NO,Basquetball,Demetrio Sanchis,Juvenil,2022-07-28,Ciudad de Mexico,Matutino,,91.14080053,1.88389034,AB+,NO,,NO,,NO,,NO,SI,SI,Ingenieria en sistemas computacionales,8.485520619,,0
60,60,nombre60,apellidoPaterno60,apellidoMaterno60,BACHILLERATO,CECYT,AAST770826MCHLNR127,AAST770884,SAML770826MCSNRT140,132 (2016 - 2022),Femenino,1999-02-12,Mexicano,SAN LUIS POTOSI,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS SOCIALES Y ADMINISTRATIVAS,SAN LUIS POTOSI,9.309426252,8.313066228,,NO,Basquetball,Demetrio Sanchis,Juvenil,2022-07-29,Ciudad de Mexico,Matutino,,93.04748864,1.710302901,AB+,NO,,NO,,NO,,SI,NO,SI,Ingenieria en sistemas computacionales,3.136886408,,0
61,61,nombre61,apellidoPaterno61,apellidoMaterno61,BACHILLERATO,CECYT,AAST770826MCHLNR128,AAST770885,SAML770826MCSNRT141,133 (2016 - 2022),Masculino,1999-02-13,Mexicano,MICHOACAN,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS SOCIALES Y ADMINISTRATIVAS,MICHOACAN,1.282881927,2.321840926,,NO,Basquetball,Demetrio Sanchis,Juvenil,2022-07-30,Ciudad de Mexico,Vespertino,,89.36574644,1.752354433,O+,NO,,NO,,NO,,NO,NO,SI,Ingenieria en sistemas computacionales,0.138852011,,0
62,62,nombre62,apellidoPaterno62,apellidoMaterno62,BACHILLERATO,CECYT,AAST770826MCHLNR129,AAST770886,SAML770826MCSNRT142,134 (2016 - 2022),Masculino,1999-02-14,Mexicano,SINALOA,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,INGENIERIA Y CIENCIAS FISICO MATEMATICA,SINALOA,6.55455715,4.207813388,,NO,Basquetball,Demetrio Sanchis,Juvenil,2022-07-31,Ciudad de Mexico,Vespertino,,88.66237413,1.858956255,O+,NO,,NO,,NO,,NO,NO,NO,Ingenieria en sistemas computacionales,7.280019658,,0
63,63,nombre63,apellidoPaterno63,apellidoMaterno63,BACHILLERATO,CECYT,AAST770826MCHLNR130,AAST770887,SAML770826MCSNRT143,135 (2016 - 2022),Femenino,1999-02-15,Mexicano,CIUDAD DE MEXICO,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,INGENIERIA Y CIENCIAS FISICO MATEMATICA,CIUDAD DE MEXICO,5.932427795,5.518920912,,NO,Basquetball,Demetrio Sanchis,Juvenil,2022-08-01,Ciudad de Mexico,Matutino,,91.25744986,1.962036724,O+,NO,,NO,,NO,,SI,NO,SI,Ingenieria en sistemas computacionales,0.749056492,,0
64,64,nombre64,apellidoPaterno64,apellidoMaterno64,BACHILLERATO,CECYT,AAST770826MCHLNR131,AAST770888,SAML770826MCSNRT144,136 (2016 - 2022),Femenino,1999-02-16,Mexicano,GUANAJUATO,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,INGENIERIA Y CIENCIAS FISICO MATEMATICA,GUANAJUATO,9.537830033,0.044411234,,SI,Basquetball,Demetrio Sanchis,Juvenil,2022-08-02,Ciudad de Mexico,Vespertino,,84.50720551,1.745501889,A-,NO,,NO,,NO,,SI,SI,NO,Ingenieria en sistemas computacionales,1.71965824,,0
65,65,nombre65,apellidoPaterno65,apellidoMaterno65,BACHILLERATO,CECYT,AAST770826MCHLNR132,AAST770889,SAML770826MCSNRT145,137 (2016 - 2022),Femenino,1999-02-17,Mexicano,SAN LUIS POTOSI,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,INGENIERIA Y CIENCIAS FISICO MATEMATICA,SAN LUIS POTOSI,6.582229929,0.36613483,,SI,Alterofilia,Demetrio Sanchis,Juvenil,2022-08-03,Ciudad de Mexico,Vespertino,,78.81996918,1.6964752,A-,NO,,NO,,NO,,SI,SI,NO,Ingenieria en sistemas computacionales,5.697345679,,0
66,66,nombre66,apellidoPaterno66,apellidoMaterno66,BACHILLERATO,CECYT,AAST770826MCHLNR133,AAST770890,SAML770826MCSNRT146,138 (2016 - 2022),Femenino,1999-02-18,Mexicano,VERACRUZ,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS SOCIALES Y ADMINISTRATIVAS,VERACRUZ,0.038347893,2.606730796,,SI,Alterofilia,Demetrio Sanchis,Juvenil,2022-08-04,Ciudad de Mexico,Vespertino,,93.33942729,1.963546074,A-,NO,,NO,,NO,,SI,NO,NO,Ingenieria en sistemas computacionales,4.63269872,,0
67,67,nombre67,apellidoPaterno67,apellidoMaterno67,BACHILLERATO,CECYT,AAST770826MCHLNR134,AAST770891,SAML770826MCSNRT147,139 (2016 - 2022),Femenino,1999-02-19,Mexicano,MORELOS,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS SOCIALES Y ADMINISTRATIVAS,MORELOS,5.503707472,3.93990967,,SI,Alterofilia,Demetrio Sanchis,Juvenil,2022-08-05,Ciudad de Mexico,Vespertino,,80.73097819,1.67283222,AB+,NO,,NO,,NO,,SI,NO,NO,Ingenieria en sistemas computacionales,9.812388128,,0
68,68,nombre68,apellidoPaterno68,apellidoMaterno68,BACHILLERATO,CECYT,AAST770826MCHLNR135,AAST770892,SAML770826MCSNRT148,140 (2016 - 2022),Femenino,1999-02-20,Mexicano,HIDALGO,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS SOCIALES Y ADMINISTRATIVAS,HIDALGO,5.385336685,9.992440078,,SI,Basquetball,Demetrio Sanchis,Juvenil,2022-08-06,Ciudad de Mexico,Matutino,,79.66049434,1.723584554,AB+,NO,,NO,,NO,,SI,NO,SI,Ingenieria en sistemas computacionales,8.153555334,,0
69,69,nombre69,apellidoPaterno69,apellidoMaterno69,BACHILLERATO,CECYT,AAST770826MCHLNR136,AAST770893,SAML770826MCSNRT149,141 (2016 - 2022),Femenino,1999-02-21,Mexicano,TLAXCALA,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS SOCIALES Y ADMINISTRATIVAS,TLAXCALA,6.497299161,4.823908941,,SI,Basquetball,Demetrio Sanchis,Juvenil,2022-08-07,Ciudad de Mexico,Matutino,,79.33130307,1.999413064,A-,NO,,NO,,NO,,SI,NO,SI,Ingenieria en sistemas computacionales,1.871315885,,0
70,70,nombre70,apellidoPaterno70,apellidoMaterno70,BACHILLERATO,CECYT,AAST770826MCHLNR137,AAST770894,SAML770826MCSNRT150,142 (2016 - 2022),Femenino,1999-02-22,Mexicano,SINALOA,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS MEDICO BIOLOGICAS,SINALOA,4.752851324,9.918461454,,SI,Basquetball,Demetrio Sanchis,Juvenil,2022-08-08,Ciudad de Mexico,Matutino,,81.32423219,1.612220877,A-,NO,,NO,,NO,,NO,NO,SI,Ingenieria en sistemas computacionales,5.970967616,,0
71,71,nombre71,apellidoPaterno71,apellidoMaterno71,BACHILLERATO,CECYT,AAST770826MCHLNR138,AAST770895,SAML770826MCSNRT151,143 (2016 - 2022),Femenino,1999-02-23,Mexicano,MICHOACAN,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS MEDICO BIOLOGICAS,MICHOACAN,0.174005874,6.197205507,,NO,Basquetball,Demetrio Sanchis,Juvenil,2022-08-09,Ciudad de Mexico,Vespertino,,76.74312988,1.626902121,A-,NO,,NO,,NO,,SI,NO,SI,Ingenieria en sistemas computacionales,1.967450822,,0
72,72,nombre72,apellidoPaterno72,apellidoMaterno72,BACHILLERATO,CECYT,AAST770826MCHLNR139,AAST770896,SAML770826MCSNRT152,144 (2016 - 2022),Femenino,1999-02-24,Mexicano,ESTADO DE MEXICO,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS SOCIALES Y ADMINISTRATIVAS,ESTADO DE MEXICO,5.646640351,5.480134724,,NO,Basquetball,Demetrio Sanchis,Juvenil,2022-08-10,Ciudad de Mexico,Vespertino,,84.06822418,1.870050601,O+,NO,,NO,,NO,,NO,NO,SI,Ingenieria en sistemas computacionales,7.921622826,,0
73,73,nombre73,apellidoPaterno73,apellidoMaterno73,BACHILLERATO,CECYT,AAST770826MCHLNR140,AAST770897,SAML770826MCSNRT153,145 (2016 - 2022),Femenino,1999-02-25,Mexicano,CIUDAD DE MEXICO,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS SOCIALES Y ADMINISTRATIVAS,CIUDAD DE MEXICO,9.678968753,8.342236341,,NO,Natacion,Demetrio Sanchis,Juvenil,2022-08-11,Ciudad de Mexico,Vespertino,,85.29053658,1.870384304,AB+,NO,,NO,,NO,,NO,SI,SI,Ingenieria en sistemas computacionales,1.107517347,,0
74,74,nombre74,apellidoPaterno74,apellidoMaterno74,BACHILLERATO,CECYT,AAST770826MCHLNR141,AAST770898,SAML770826MCSNRT154,146 (2016 - 2022),Femenino,1999-02-26,Mexicano,PUEBLA,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS SOCIALES Y ADMINISTRATIVAS,PUEBLA,3.918595933,7.379616402,,NO,Natacion,Demetrio Sanchis,Juvenil,2022-08-12,Ciudad de Mexico,Vespertino,,88.2605995,1.990797586,AB+,NO,,NO,,NO,,SI,SI,SI,Ingenieria en sistemas computacionales,8.634632244,,0
75,75,nombre75,apellidoPaterno75,apellidoMaterno75,BACHILLERATO,CECYT,AAST770826MCHLNR142,AAST770899,SAML770826MCSNRT155,147 (2016 - 2022),Femenino,1999-02-27,Mexicano,MORELOS,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS SOCIALES Y ADMINISTRATIVAS,MORELOS,8.433621377,7.553657894,,NO,Natacion,Demetrio Sanchis,Juvenil,2022-08-13,Ciudad de Mexico,Vespertino,,85.10955016,1.822236419,O+,NO,,NO,,NO,,SI,SI,SI,Ingenieria en sistemas computacionales,2.750639734,,0
76,76,nombre76,apellidoPaterno76,apellidoMaterno76,BACHILLERATO,CECYT,AAST770826MCHLNR143,AAST770900,SAML770826MCSNRT156,148 (2016 - 2022),Masculino,1999-02-28,Mexicano,HIDALGO,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS SOCIALES Y ADMINISTRATIVAS,HIDALGO,5.702774216,7.736354413,,NO,Natacion,Demetrio Sanchis,Juvenil,2022-08-14,Ciudad de Mexico,Vespertino,,78.75671605,1.885882102,O+,NO,,NO,,NO,,SI,NO,SI,Ingenieria en sistemas computacionales,4.650345719,,0
77,77,nombre77,apellidoPaterno77,apellidoMaterno77,BACHILLERATO,CECYT,AAST770826MCHLNR144,AAST770901,SAML770826MCSNRT157,149 (2016 - 2022),Masculino,1999-03-01,Mexicano,MORELOS,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS SOCIALES Y ADMINISTRATIVAS,MORELOS,3.956628158,5.197047251,,NO,Natacion,Demetrio Sanchis,Juvenil,2022-08-15,Ciudad de Mexico,Vespertino,,81.85976069,1.72965032,A-,NO,,NO,,NO,,SI,NO,NO,Ingenieria en sistemas computacionales,8.465675453,,0
78,78,nombre78,apellidoPaterno78,apellidoMaterno78,BACHILLERATO,CECYT,AAST770826MCHLNR145,AAST770902,SAML770826MCSNRT158,150 (2016 - 2022),Femenino,1999-03-02,Mexicano,CIUDAD DE MEXICO,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,INGENIERIA Y CIENCIAS FISICO MATEMATICA,CIUDAD DE MEXICO,3.456831169,1.768935615,,NO,Basquetball,Demetrio Sanchis,Juvenil,2022-08-16,Ciudad de Mexico,Vespertino,,94.27419602,1.814641997,A-,NO,,NO,,NO,,SI,NO,NO,Ingenieria en sistemas computacionales,3.095326304,,0
79,79,nombre79,apellidoPaterno79,apellidoMaterno79,BACHILLERATO,CECYT,AAST770826MCHLNR146,AAST770903,SAML770826MCSNRT159,151 (2016 - 2022),Femenino,1999-03-03,Mexicano,ZACATECAS,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS MEDICO BIOLOGICAS,ZACATECAS,3.185179745,1.754933034,,NO,Basquetball,Demetrio Sanchis,Juvenil,2022-08-17,Ciudad de Mexico,Vespertino,,79.71548131,1.647548371,A-,NO,,NO,,NO,,SI,SI,NO,Ingenieria en sistemas computacionales,9.918421073,,0
80,80,nombre80,apellidoPaterno80,apellidoMaterno80,BACHILLERATO,CECYT,AAST770826MCHLNR147,AAST770904,SAML770826MCSNRT160,152 (2016 - 2022),Masculino,1999-03-04,Mexicano,NUEVO LEON,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS SOCIALES Y ADMINISTRATIVAS,NUEVO LEON,3.605303882,9.95865942,,NO,Basquetball,Demetrio Sanchis,Juvenil,2022-08-18,Ciudad de Mexico,Vespertino,,90.73214188,1.637839598,A-,NO,,NO,,NO,,SI,SI,SI,Ingenieria en sistemas computacionales,0.548191526,,0
81,81,nombre81,apellidoPaterno81,apellidoMaterno81,BACHILLERATO,CECYT,AAST770826MCHLNR148,AAST770905,SAML770826MCSNRT161,153 (2016 - 2022),Masculino,1999-03-05,Mexicano,TABASCO,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS SOCIALES Y ADMINISTRATIVAS,TABASCO,7.247326171,3.474827073,,NO,Basquetball,Demetrio Sanchis,Juvenil,2022-08-19,Ciudad de Mexico,Vespertino,,88.31335869,1.693594895,AB+,NO,,NO,,NO,,SI,NO,SI,Ingenieria en sistemas computacionales,4.299305084,,0
82,82,nombre82,apellidoPaterno82,apellidoMaterno82,BACHILLERATO,CECYT,AAST770826MCHLNR149,AAST770906,SAML770826MCSNRT162,154 (2016 - 2022),Femenino,1999-03-06,Mexicano,VERACRUZ,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,INGENIERIA Y CIENCIAS FISICO MATEMATICA,VERACRUZ,7.898570179,6.924840554,,NO,Basquetball,Demetrio Sanchis,Juvenil,2022-08-20,Ciudad de Mexico,Vespertino,,89.86041681,1.898515967,AB+,NO,,NO,,NO,,SI,NO,SI,Ingenieria en sistemas computacionales,9.240694342,,0
83,83,nombre83,apellidoPaterno83,apellidoMaterno83,BACHILLERATO,CECYT,AAST770826MCHLNR150,AAST770907,SAML770826MCSNRT163,155 (2016 - 2022),Femenino,1999-03-07,Mexicano,BAJA CALIFORNIA SUR,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,INGENIERIA Y CIENCIAS FISICO MATEMATICA,BAJA CALIFORNIA SUR,4.275946654,1.955495021,,NO,Basquetball,Demetrio Sanchis,Juvenil,2022-08-21,Ciudad de Mexico,Vespertino,,80.26120822,1.796018832,AB+,NO,,NO,,NO,,SI,NO,NO,Ingenieria en sistemas computacionales,9.558775069,,0
